statecensus,co,co_nwa,co_sib,co_ptw,co_sing,persons,records
Montana,0.2842955864007057,0.22222062305213267,0.16196343605914043,0.10233277219380817,0.05615868292557373,2.1396156876261262e-4,1847
Nebraska,0.33152156024397267,0.2730679577457045,0.204032034307908,0.12977703166716362,0.04924771716293,4.0513388597187774e-4,1321
Nevada,0.26060793502428575,0.16978127887550457,0.13731420980439416,0.11569073139924889,0.048908298783211616,4.13162707790627e-4,881
New Hampshire,0.27081849207701014,0.1985107874472539,0.1352843137399409,0.10349934844219774,0.034578256651171854,3.316849509292541e-4,1638
New Jersey,0.28409233423479324,0.19168403688336222,0.11082169593477456,0.07805530122268002,0.08296717318549823,0.0018734016400858112,2020
New Mexico,0.27130114307492376,0.1378687919896422,0.09984423905198662,0.08092042384895609,0.07889972190924148,3.8829672700700397e-4,1625
New York,0.26400853913872563,0.16549522256357033,0.11932899516001623,0.08334594882521013,0.09856413984232477,0.00498820688617385,5077
North Carolina,0.29383457032721744,0.21422789736591277,0.17129414047681155,0.11795338984772062,0.07980810233105169,0.002408111243070206,2605
North Dakota,0.2858643971316999,0.2540902459820254,0.19187186847605248,0.12673449319221758,0.04464851159840924,1.6878686854824432e-4,1637
Ohio,0.31328487788648185,0.23742532260580454,0.16521877542288768,0.11241557269219929,0.07759565630285517,0.0029569957433819975,3128
Oklahoma,0.3144083891049779,0.22375871954985846,0.16723163767284982,0.1246152772353118,0.059605051958233436,7.743277589005658e-4,1486
Oregon,0.313593169898643,0.23751388354584943,0.2055564659814755,0.13320246697033788,0.0552765510279482,9.010772807339309e-4,1598
Pennsylvania,0.29403645779071624,0.19544727690005462,0.14180787147758167,0.10353275575717832,0.09902428570016633,0.003206329363442588,3295
Rhode Island,0.3009241559447927,0.206094273151767,0.1458807858908202,0.09409796882380371,0.06280741374640378,2.993468955977504e-4,1263
South Carolina,0.26335568047832736,0.18732518875692647,0.13904796012589107,0.12024144162175397,0.06835731641373535,0.001076161489403632,1716
South Dakota,0.32026449299412346,0.2808374557287582,0.21037344183406587,0.14152268952291924,0.0238844399664703,2.320274842448721e-4,1564
Tennessee,0.2597823840901086,0.19494075403208913,0.13768640798215143,0.10357226569617516,0.03608628932536173,0.0013513791359216825,1966
Texas,0.3209969342091144,0.22197386896114363,0.1402643667007953,0.10151358833387614,0.07124963937761504,0.005355084850587533,5393
Utah,0.35261594349025144,0.23566464946093454,0.17142629703662682,0.08565586645261246,0.03903207450425756,5.418367514296167e-4,1404
Vermont,0.21893437985970984,0.16479504313222304,0.11808837519215393,0.08168002974345151,0.03627182308017309,1.4505370974164918e-4,1502
Virginia,0.3021697631144737,0.22054185408219673,0.17781165420943917,0.12800985903231815,0.0674562665464653,0.0013938381395445596,1513
Washington,0.29563162741437393,0.21273073273123322,0.13767260111007976,0.07949410777033102,0.039586103329036226,0.0011651126211302302,1435
West Virginia,0.2697707398547146,0.17993936537534466,0.14483438319154593,0.11643607617892869,0.06089354861133566,3.854454183782304e-4,2244
Wisconsin,0.30118027023990046,0.24840895156446743,0.19372359123805702,0.1209542090262326,0.0483232978169969,0.0012430282190851196,1439
Wyoming,0.2738192547506645,0.221341449761452,0.1541532759103125,0.10103057567959708,0.05539653233199469,9.869428642591597e-5,1235
