codes,description,co,co_nwa,co_sib,co_ptw,co_sing,persons,records
15540,"Burlington-South Burlington, VT",0.20336177822411805,0.14127565883992343,0.10082064104886729,0.06770322846762498,0.03998865264205703,6.092459539250597e-5,650
15680,"California-Lexington Park, MD",0.20936278472563907,0.20936278472563907,0.14916353985504086,0.14916353985504086,0,1.7219665639814612e-5,21
15940,"Canton-Massillon, OH",0.32881168220226614,0.21932880480966163,0.11574122080330757,0.09862910070370234,0.12004361097018078,9.805092138333749e-5,107
15980,"Cape Coral-Fort Myers, FL",0.2803213256415326,0.2000458551081122,0.09245155619507231,0.08662736605578825,0.06365104622254915,1.5094493903807616e-4,166
16060,"Carbondale-Marion, IL",0.24014303990812205,0.14797916842907188,0.14797916842907188,0.05483318693782509,0,3.6168062647329344e-5,42
16300,"Cedar Rapids, IA",0.20483010101083188,0.10335726690209443,0.06646247134435719,0.06646247134435719,0.16793530545309465,3.206617824251868e-5,58
16540,"Chambersburg-Waynesboro, PA",0.2965393039008812,0.2965393039008812,0.1545001250932442,0.13834775910955788,0.11855074832930787,6.607343821305515e-5,67
16580,"Champaign-Urbana, IL",0.36630770440435134,0.33870403971297514,0.2158326294080805,0.18903216516438623,0.04872447396069401,5.829917420036721e-5,70
16620,"Charleston, WV",0.16184500231355953,0.07079851613658843,0.047957298815205045,0.047957298815205045,0.018366819288693454,3.659385980441461e-5,212
16700,"Charleston-North Charleston, SC",0.19733405216076733,0.13936362036966218,0.09403828673978588,0.0798940311963381,0.005173922268644687,2.0850362637209316e-4,341
16740,"Charlotte-Concord-Gastonia, NC-SC",0.22889839335865259,0.16710296299016358,0.11526121990645845,0.09365277469137559,0.07613479306579851,5.851057150720241e-4,689
16820,"Charlottesville, VA",0.3001440565583671,0.2892718490574438,0.2772431647935425,0.13611038318614868,0.08090107576220627,7.053326165721144e-5,80
16860,"Chattanooga, TN-GA",0.3162507518996675,0.24571150101097813,0.24571150101097813,0.2073879742431301,0.12603888757693588,1.0545699927313931e-4,152
16980,"Chicago-Naperville-Elgin, IL-IN-WI",0.24864525155393907,0.17025512353586816,0.11334296052679149,0.07628903855753134,0.07059330722369431,0.0019142939209619316,1998
17020,"Chico, CA",0.22592579544972888,0.15510694705177652,0.13146296694276294,0.11886583679612163,0.1195599864161012,6.502601716610913e-5,76
17140,"Cincinnati, OH-KY-IN",0.3918441106207736,0.30518465673477063,0.18892505364068143,0.12690190362766396,0.08524883784872597,4.772136922937147e-4,530
17300,"Clarksville, TN-KY",0.22732079286247872,0.14657253388707728,0.07738271100905023,0.010192963501308471,0.056738776400619,5.619639503032679e-5,84
17420,"Cleveland, TN",0.080543232840246,0.080543232840246,0,0,0,4.085863742868204e-5,59
17460,"Cleveland-Elyria, OH",0.28792822559863945,0.23886912222630258,0.17159058527182913,0.10009882100553714,0.08736113898011529,6.169314532535981e-4,601
17660,"Coeur d'Alene, ID",0.36995971608678585,0.3231148674055888,0.26482427492357125,0.09044829854081868,0.020513091613393264,2.700678572976681e-5,137
17780,"College Station-Bryan, TX",0.10919492202940902,0.10919492202940902,0.020040999285145387,0.020040999285145387,0.020040999285145387,5.3784243041589274e-5,50
17820,"Colorado Springs, CO",0.287645110873139,0.1355035104929768,0.09803239356499095,0.06631507287094178,0.047224062650931556,1.7660712609417103e-4,179
17900,"Columbia, SC",0.22577722059490246,0.1596949186004755,0.14405467620112442,0.13213003373203155,0.0648655418493496,2.0716445198464768e-4,340
17980,"Columbus, GA-AL",0.32323296069065444,0.32323296069065444,0.2156111892930637,0.2156111892930637,0.16576972314317656,3.7129817106387065e-5,44
18140,"Columbus, OH",0.3041513595144702,0.23620174360207516,0.16421120716610843,0.11988546666282418,0.06981419184136614,5.458242120574859e-4,530
18580,"Corpus Christi, TX",0.23578189986263898,0.2152307503320391,0.14004311086207105,0.09664138868408673,0.07581326626143778,8.948093650214644e-5,101
19100,"Dallas-Fort Worth-Arlington, TX",0.3555285353389862,0.27018994012996483,0.1624653882485752,0.10282079182190672,0.07257602704699781,0.0014478599745142277,1399
19300,"Daphne-Fairhope-Foley, AL",0.2495787827021624,0.1820996137476379,0.16396188053476154,0.1430898893975688,0.020934176503031313,6.339357918671522e-5,135
19340,"Davenport-Moline-Rock Island, IA-IL",0.16271032600407326,0.09349865919414774,0.015605216013969905,0.015605216013969905,0,7.398364831233983e-5,106
19380,"Dayton, OH",0.30940740003507483,0.2051507168666825,0.1629517870047351,0.13147897245457077,0.0668011876002183,1.8023076493904646e-4,200
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0.3115577644582284,0.18487857432857455,0.10071769500878615,0.07348553469265641,0.10713604528837462,1.2492541301587805e-4,135
19740,"Denver-Aurora-Lakewood, CO",0.2694657032127689,0.2247067201956122,0.1529479493295777,0.11078154808915161,0.06109975624179922,5.607845893939123e-4,581
19780,"Des Moines-West Des Moines, IA",0.25368608626351674,0.20203446183778187,0.1464819772434947,0.06187751077659755,0.07183280549040222,1.3426216243079663e-4,252
19820,"Detroit-Warren-Dearborn, MI",0.27606456161281245,0.18220830619255843,0.13815869860784447,0.0846192289192009,0.0952987809632462,0.0010260453851106272,1075
20100,"Dover, DE",0.4061600899471604,0.18579744219369046,0.10585353098223346,0.0719204830556616,0.15744471821187794,5.096527461393682e-5,260
20500,"Durham-Chapel Hill, NC",0.2150352672745191,0.13113248127906435,0.12220625613914682,0.07488757203504572,0.08654903424870267,2.0049964094657474e-4,207
20700,"East Stroudsburg, PA",0.10810355471259162,0.07913771479703424,0.04946937017160114,0.04946937017160114,0.016090341863463167,5.8363364170571333e-5,64
21140,"Elkhart-Goshen, IN",0.16032441555098367,0,0,0,0.10222019786863969,3.7717492032568983e-5,48
21340,"El Paso, TX",0.3062625073208876,0.2094124169478052,0.14294226447488856,0.13712660454864636,0.06352803261975501,1.7766295356070165e-4,199
21500,"Erie, PA",0.5237587862372137,0.2065807987175476,0.09951609419274925,0.09951609419274925,0.36922991652843223,7.69600383215004e-5,82
21660,"Eugene, OR",0.3338396813915185,0.1964498232232235,0.1234061016192641,0.06585183697505936,0.0898231876179138,7.919055444925945e-5,144
21780,"Evansville, IN-KY",0.29614048314959707,0.20887820128939352,0.20887820128939352,0.12707626395970376,0.013983196524822173,5.575691649621214e-5,69
22020,"Fargo, ND-MN",0.198786262928868,0.17452651444315756,0.135035651717601,0.09203156422879849,0.033634743753807934,5.269424671876892e-5,501
22140,"Farmington, NM",0.29918267935668164,0.16674451950497682,0.11869204405786891,0.06344655775479922,0.03514184537078279,1.0606766099523005e-5,40
22180,"Fayetteville, NC",0.2469467014914386,0.12684680190809036,0.11346919786974723,0.06255093896828856,0.15816420151300092,8.224395595695786e-5,85
22220,"Fayetteville-Springdale-Rogers, AR-MO",0.18028110699427963,0.08784053091496559,0.03894487414928382,0.03493780623971195,0,7.328124936512633e-5,218
