occ,statecensus,Fraction of Workforce,description
2310,94,4.3e-5,Elementary and middle school teachers
3000,94,1e-6,Chiropractors
4600,94,2.1e-5,Child care workers
4760,94,3.6e-5,Retail salespersons
0160,94,6e-6,"Transportation, storage, and distribution managers"
3320,94,7e-6,Diagnostic related technologists and technicians
0020,94,1.6e-5,General and operations managers
6260,94,2e-5,Construction laborers
7220,94,8e-6,Heavy vehicle and mobile equipment service technicians and mechanics
4720,94,4.3e-5,Cashiers
4850,94,8e-6,"Sales representatives, wholesale and manufacturing"
4010,94,8e-6,First-line supervisors/managers of food preparation and serving workers
2160,94,6e-6,Miscellaneous legal support workers
3535,94,3e-6,Miscellaneous health technologists and technicians
4810,94,3e-6,Insurance sales agents
3945,94,6e-6,Transportation security screeners
6840,94,5e-6,Mining machine operators
0010,94,1.8e-5,Chief executives
8140,94,4e-6,"Welding, soldering, and brazing workers"
1400,94,1e-6,Computer hardware engineers
0050,94,4e-6,Marketing and sales managers
1500,94,0,"Mining and geological engineers, including mining safety engineers"
4040,94,5e-6,Bartenders
9130,94,3.7e-5,Driver/sales workers and truck drivers
2860,94,1e-6,Miscellaneous media and communications workers
2010,94,1.6e-5,Social workers
3245,94,3e-6,"Therapists, all other"
2100,94,1.3e-5,"Lawyers, Judges, magistrates, and other judicial workers"
2900,94,4e-6,Broadcast and sound engineering technicians and radio operators
0565,94,3e-6,Compliance officers
1530,94,6e-6,"Engineers, all other"
3300,94,2e-6,Clinical laboratory technologists and technicians
6660,94,3e-6,Construction and building inspectors
5620,94,3e-5,Stock clerks and order fillers
7630,94,2e-6,"Other installation, maintenance, and repair workers"
2300,94,6e-6,Preschool and kindergarten teachers
1640,94,0,Conservation scientists and foresters
1430,94,0,"Industrial engineers, including health and safety"
6200,94,7e-6,First-line supervisors/managers of construction trades and extraction workers
3850,94,1.3e-5,Police and sheriff's patrol officers
3740,94,7e-6,Fire fighters
8965,94,6e-6,"Production workers, all other"
1106,94,1e-6,Computer network architects
3030,94,1e-6,Dietitians and nutritionists
4920,94,1.2e-5,Real estate brokers and sales agents
7020,94,6e-6,Radio and telecommunications equipment installers and repairers
7330,94,3e-6,Industrial and refractory machinery mechanics
0410,94,1.7e-5,"Property, real estate, and community association managers"
0940,94,1e-6,Tax preparers
5110,94,6e-6,Billing and posting clerks and machine operators
1020,94,5e-6,"Software developers, applications and systems software"
6800,94,0,"Derrick, rotary drill, and service unit operators, oil, gas, and mining"
4430,94,3e-6,Miscellaneous entertainment attendants and related workers
5350,94,1e-6,Order clerks
4350,94,4e-6,Nonfarm animal caretakers
5360,94,1e-6,"Human resources assistants, except payroll and timekeeping"
1820,94,2e-6,Psychologists
6230,94,2.6e-5,Carpenters
2105,94,0,Judicial law clerks
2540,94,1e-5,Teacher assistants
2200,94,1.4e-5,Postsecondary teachers
2320,94,7e-6,Secondary school teachers
4250,94,1.1e-5,Grounds maintenance workers
5300,94,5e-6,"Hotel, motel, and resort desk clerks"
0630,94,8e-6,Human resource workers
5510,94,4e-6,Couriers and messengers
5600,94,5e-6,"Production, planning and expediting clerks"
0350,94,9e-6,Medical and health services managers
1610,94,6e-6,Biological scientists
2600,94,7e-6,Artists and related workers
8620,94,4e-6,Water and liquid waste treatment plant and system operators
5330,94,1e-6,Loan interviewers and clerks
3140,94,0,Audiologists
5550,94,4e-6,Postal service mail carriers
1910,94,1e-6,Biological technicians
5700,94,3.5e-5,Secretaries and administrative assistants
4000,94,4e-6,Chefs and head cooks
0850,94,5e-6,Personal financial advisors
3510,94,3e-6,Medical records and health information technicians
9000,94,6e-6,"Supervisors, transportation and material moving workers"
4150,94,2e-6,"Hosts and hostesses, restaurant, lounge, and coffee shop"
1550,94,7e-6,"Engineering technicians, except drafters"
1520,94,6e-6,Petroleum engineers
2840,94,1e-6,Technical writers
4110,94,2.4e-5,Waiters and waitresses
0910,94,3e-6,Loan counselors and officers
6820,94,1e-6,"Earth drillers, except oil and gas"
5000,94,2.1e-5,First-line supervisors/managers of office and administrative support workers
2040,94,7e-6,Clergy
0420,94,1.1e-5,Social and community service managers
3220,94,1e-6,Respiratory therapists
4650,94,2e-6,"Personal care and service workers, all other"
4030,94,2.4e-5,Food preparation workers
3060,94,1.2e-5,Physicians and surgeons
2430,94,2e-6,Librarians
3930,94,1.1e-5,Security guards and gaming surveillance officers
3955,94,2e-6,"Lifeguards and other recreational, and all other protective service workers"
2000,94,1.5e-5,Counselors
4800,94,2e-6,Advertising sales agents
3640,94,7e-6,Dental assistants
0930,94,0,"Tax examiners, collectors, and revenue agents"
5560,94,2e-6,"Postal service mail sorters, processors, and processing machine operators"
0735,94,4e-6,Market research analysts and marketing specialists
7140,94,7e-6,Aircraft mechanics and service technicians
7200,94,1.3e-5,Automotive service technicians and mechanics
7420,94,5e-6,Telecommunications line installers and repairers
5220,94,2e-6,"Court, municipal, and license clerks"
3645,94,9e-6,Medical assistants
3258,94,3e-6,Nurse practitioners
3010,94,1e-6,Dentists
9120,94,9e-6,Bus drivers
1740,94,3e-6,Environmental scientists and geoscientists
5120,94,2.6e-5,"Bookkeeping, accounting, and auditing clerks"
2060,94,0,"Religious workers, all other"
2850,94,2e-6,Writers and authors
6320,94,1e-5,Operating engineers and other construction equipment operators
0810,94,2e-6,Appraisers and assessors of real estate
5320,94,1e-6,"Library assistants, clerical"
6130,94,2e-6,Logging workers
0220,94,1.5e-5,Construction managers
1107,94,9e-6,"Computer occupations, all other"
7000,94,7e-6,"First-line supervisors/managers of mechanics, installers, and repairers"
3160,94,2e-6,Physical therapists
6730,94,3e-6,Highway maintenance workers
6240,94,2e-6,"Carpet, floor, and tile installers and finishers"
7210,94,8e-6,Bus and truck mechanics and diesel engine specialists
6050,94,6e-6,Miscellaneous agricultural workers
3540,94,2e-6,Other healthcare practitioners and technical occupations
7130,94,1e-6,Security and fire alarm systems installers
3710,94,1e-6,First-line supervisors/managers of police and detectives
9560,94,1e-6,Hoist and winch operators
5810,94,2e-6,Data entry keyers
8650,94,1e-6,"Crushing, grinding, polishing, mixing, and blending workers"
4140,94,4e-6,Dishwashers
8320,94,1e-6,Sewing machine operators
4750,94,3e-6,Parts salespersons
