occ,statecensus,Fraction of Workforce,description
3600,31,6.2e-4,"Nursing, psychiatric, and home health aides"
5000,31,3.08e-4,First-line supervisors/managers of office and administrative support workers
2200,31,2.85e-4,Postsecondary teachers
1965,31,4e-5,"Miscellaneous life, physical, and social science technicians"
0740,31,8e-5,"Business operations specialists, all other"
4150,31,8.5e-5,"Hosts and hostesses, restaurant, lounge, and coffee shop"
4030,31,2.05e-4,Food preparation workers
0540,31,5.7e-5,"Claims adjusters, appraisers, examiners, and investigators"
4720,31,6.64e-4,Cashiers
1820,31,6.7e-5,Psychologists
5840,31,5.7e-5,Insurance claims and policy processing clerks
6260,31,2.72e-4,Construction laborers
1410,31,7.4e-5,Electrical and electronics engineers
6355,31,1.62e-4,Electricians
5860,31,1.95e-4,"Office clerks, general"
0430,31,0.00112,"Managers, all other"
2330,31,7.7e-5,Special education teachers
0110,31,1.71e-4,Computer and information systems managers
4020,31,4.65e-4,Cooks
0010,31,3.59e-4,Chief executives
3300,31,6.7e-5,Clinical laboratory technologists and technicians
0630,31,1.82e-4,Human resource workers
0050,31,2.51e-4,Marketing and sales managers
0220,31,2.04e-4,Construction managers
4610,31,1.99e-4,Personal and home care aides
0120,31,3.43e-4,Financial managers
7700,31,2.81e-4,First-line supervisors/managers of production and operating workers
4230,31,2.66e-4,Maids and housekeeping cleaners
0950,31,2.4e-5,"Financial specialists, all other"
1020,31,2.01e-4,"Software developers, applications and systems software"
5700,31,5.13e-4,Secretaries and administrative assistants
4350,31,9.5e-5,Nonfarm animal caretakers
7000,31,6.8e-5,"First-line supervisors/managers of mechanics, installers, and repairers"
2010,31,2.26e-4,Social workers
9130,31,8.84e-4,Driver/sales workers and truck drivers
0160,31,1.07e-4,"Transportation, storage, and distribution managers"
0230,31,2.02e-4,Education administrators
4710,31,2.92e-4,First-line supervisors/managers of non-retail sales workers
7200,31,1.52e-4,Automotive service technicians and mechanics
2000,31,1.47e-4,Counselors
3060,31,2.78e-4,Physicians and surgeons
4600,31,2.1e-4,Child care workers
2340,31,1.62e-4,Other teachers and instructors
2310,31,7.23e-4,Elementary and middle school teachers
4130,31,1.02e-4,"Dining room and cafeteria attendants, bartender helpers, and miscellaneous food preparation and serving related workers"
7010,31,4.9e-5,"Computer, automated teller, and office machine repairers"
1006,31,1.69e-4,Computer systems analysts
1106,31,1.9e-5,Computer network architects
4850,31,3.51e-4,"Sales representatives, wholesale and manufacturing"
8320,31,3.5e-5,Sewing machine operators
4010,31,1.53e-4,First-line supervisors/managers of food preparation and serving workers
5800,31,2.8e-5,Computer operators
3910,31,2.6e-5,Private detectives and investigators
5420,31,3.8e-5,"Information and record clerks, all other"
0140,31,9.3e-5,Industrial production managers
1530,31,1.2e-4,"Engineers, all other"
4760,31,6.32e-4,Retail salespersons
5600,31,7.5e-5,"Production, planning and expediting clerks"
5810,31,7.3e-5,Data entry keyers
8710,31,1.2e-5,Cutting workers
7210,31,1.04e-4,Bus and truck mechanics and diesel engine specialists
3850,31,1.53e-4,Police and sheriff's patrol officers
2160,31,3e-5,Miscellaneous legal support workers
2320,31,2.97e-4,Secondary school teachers
5120,31,2.33e-4,"Bookkeeping, accounting, and auditing clerks"
9600,31,1.88e-4,Industrial truck and tractor operators
2300,31,1.65e-4,Preschool and kindergarten teachers
9120,31,1.24e-4,Bus drivers
1760,31,4.9e-5,"Physical scientists, all other"
1105,31,5.5e-5,Network and computer systems administrators
1400,31,8e-6,Computer hardware engineers
3245,31,5.5e-5,"Therapists, all other"
7330,31,1.03e-4,Industrial and refractory machinery mechanics
0565,31,8e-5,Compliance officers
6230,31,1.6e-4,Carpenters
8760,31,9e-6,"Medical, dental, and ophthalmic laboratory technicians"
3930,31,1.64e-4,Security guards and gaming surveillance officers
7750,31,3.95e-4,Miscellaneous assemblers and fabricators
9150,31,1.6e-5,"Motor vehicle operators, all other"
4140,31,7.4e-5,Dishwashers
4920,31,1.75e-4,Real estate brokers and sales agents
0137,31,1.3e-5,Training and Development Managers
4620,31,1.37e-4,Recreation and fitness workers
0910,31,9.9e-5,Loan counselors and officers
7340,31,1.49e-4,"Maintenance and repair workers, general"
6320,31,8.8e-5,Operating engineers and other construction equipment operators
6200,31,1.4e-4,First-line supervisors/managers of construction trades and extraction workers
3420,31,1.77e-4,Health practitioner support technologists and technicians 
2430,31,2.3e-5,Librarians
3050,31,6.7e-5,Pharmacists
3640,31,5.1e-5,Dental assistants
3260,31,2e-6,"Health diagnosing and treating practitioners, all other"
8030,31,1.94e-4,Machinists
8920,31,7e-6,"Molders, shapers, and casters, except metal and plastic"
3258,31,8e-5,Nurse practitioners
8255,31,4.2e-5,Printing machine operators
8256,31,1.2e-5,Print binding and finishing workers
5160,31,9.6e-5,Tellers
6700,31,4e-6,Elevator installers and repairers
0860,31,1.3e-5,Insurance underwriters
7315,31,9.6e-5,"Heating, air conditioning, and refrigeration mechanics and installers"
4510,31,1.55e-4,"Hairdressers, hairstylists, and cosmetologists"
0310,31,2.71e-4,Food service managers
3030,31,2.8e-5,Dietitians and nutritionists
2920,31,1.6e-5,"Television, video, and motion picture camera operators and editors"
0350,31,1.63e-4,Medical and health services managers
6220,31,2.8e-5,"Brickmasons, blockmasons, and stonemasons"
3500,31,2.14e-4,Licensed practical and licensed vocational nurses
1010,31,6e-5,Computer programmers
1450,31,1.1e-5,Materials engineers
4200,31,8.8e-5,First-line supervisors/managers of housekeeping and janitorial workers
2100,31,2.05e-4,"Lawyers, Judges, magistrates, and other judicial workers"
3700,31,1.5e-5,First-line supervisors/managers of correctional officers
2540,31,1.88e-4,Teacher assistants
0020,31,2.71e-4,General and operations managers
2145,31,7.1e-5,Paralegals and legal assistants
0136,31,7.5e-5,Human Resources Managers
1540,31,2.4e-5,Drafters
1320,31,3.9e-5,Aerospace engineers
1220,31,2.6e-5,Operations research analysts
9140,31,1.17e-4,Taxi drivers and chauffeurs
4520,31,3.4e-5,Miscellaneous personal appearance workers
0300,31,2.6e-5,Engineering managers
4250,31,2.09e-4,Grounds maintenance workers
7360,31,4.6e-5,Millwrights
0725,31,2.3e-5,"Meeting, convention, and event planners"
2810,31,2.7e-5,"News analysts, reporters, and correspondents"
2630,31,1.87e-4,Designers
1030,31,2.9e-5,Web developers
0340,31,2.8e-5,Lodging managers
4800,31,1.6e-5,Advertising sales agents
7840,31,1.7e-5,Food batchmakers
6740,31,3e-6,Rail-track laying and maintenance equipment operators
5940,31,1.79e-4,"Office and administrative support workers, all other"
1460,31,1.13e-4,Mechanical engineers
1430,31,6.5e-5,"Industrial engineers, including health and safety"
5610,31,2.38e-4,"Shipping, receiving, and traffic clerks"
0410,31,1.45e-4,"Property, real estate, and community association managers"
3649,31,4e-5,Phlebotmists
1050,31,1.2e-4,Computer support specialists
3655,31,6.1e-5,"Miscellaneous healthcare support occupations, including medical equipment preparers"
1360,31,7.4e-5,Civil engineers
0726,31,1.8e-5,Fundraisers
7900,31,6.4e-5,Computer control programmers and operators
2015,31,1.9e-5,Probation officers and correctional treatment specialists
9040,31,2.1e-5,Air traffic controllers and airfield operations specialists
4840,31,1.37e-4,"Sales representatives, services, all other"
2860,31,9e-6,Miscellaneous media and communications workers
4430,31,4.3e-5,Miscellaneous entertainment attendants and related workers
4050,31,1.63e-4,"Combined food preparation and serving workers, including fast food"
0710,31,1.72e-4,Management analysts
0150,31,4e-5,Purchasing managers
3800,31,5.3e-5,"Bailiffs, correctional officers, and jailers"
2060,31,2.5e-5,"Religious workers, all other"
3210,31,3e-6,Recreational therapists
5110,31,1.58e-4,Billing and posting clerks and machine operators
3230,31,2.9e-5,Speech-language pathologists
6330,31,2.8e-5,"Drywall installers, ceiling tile installers, and tapers"
0100,31,2.3e-5,Administrative services managers
2040,31,1.24e-4,Clergy
3250,31,2.9e-5,Veterinarians
8640,31,2.2e-5,"Chemical processing machine setters, operators, and tenders"
4300,31,3.6e-5,First-line supervisors/managers of gaming workers
8910,31,1e-6,Etchers and engravers
0640,31,1.2e-5,"Compensation, benefits, and job analysis specialists"
4320,31,3.3e-5,First-line supervisors/managers of personal service workers
6440,31,1.1e-4,"Pipelayers, plumbers, pipefitters, and steamfitters"
7730,31,6e-6,Engine and other machine assemblers
4420,31,1.5e-5,"Ushers, lobby attendants, and ticket takers"
4000,31,8.2e-5,Chefs and head cooks
3820,31,4.2e-5,Detectives and criminal investigators
7720,31,5e-5,"Electrical, electronics, and electromechanical assemblers"
3740,31,1.22e-4,Fire fighters
7800,31,4.4e-5,Bakers
6010,31,4e-6,Agricultural inspectors
5220,31,2.6e-5,"Court, municipal, and license clerks"
7220,31,3.7e-5,Heavy vehicle and mobile equipment service technicians and mechanics
5260,31,3.6e-5,File clerks
3535,31,4e-5,Miscellaneous health technologists and technicians
2910,31,3.9e-5,Photographers
5150,31,6e-6,Procurement clerks
9415,31,4e-6,"Transportation attendants, except flight attendants"
3400,31,2.3e-5,Emergency medical technicians and paramedics
0205,31,1.51e-4,"Farmers, Ranchers, and Other Agricultural Managers"
4650,31,3.2e-5,"Personal care and service workers, all other"
2016,31,3.8e-5,Social and human service assistants
6040,31,1.9e-5,"Graders and sorters, agricultural products"
5910,31,5e-6,Proofreaders and copy markers
4530,31,1.8e-5,"Baggage porters, bellhops, and concierges"
8130,31,3.7e-5,Tool and die makers
5630,31,1e-5,"Weighers, measurers, checkers, and samplers, record keeping"
7140,31,2.6e-5,Aircraft mechanics and service technicians
2050,31,1.8e-5,"Directors, religious activities and education"
4210,31,7.8e-5,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers"
5560,31,2e-5,"Postal service mail sorters, processors, and processing machine operators"
4060,31,6.1e-5,"Counter attendants, cafeteria, food concession, and coffee shop"
9640,31,2.74e-4,"Packers and packagers, hand"
9240,31,1.6e-5,Railroad conductors and yardmasters
6050,31,9.8e-5,Miscellaneous agricultural workers
8500,31,1.2e-5,Cabinetmakers and bench carpenters
0530,31,4.8e-5,"Purchasing agents, except wholesale, retail, and farm products"
4900,31,1.7e-5,"Models, demonstrators, and product promoters"
2720,31,5.1e-5,"Athletes, coaches, umpires, and related workers"
1300,31,3.2e-5,"Architects, except naval"
4400,31,5e-6,Gaming services workers
3955,31,4.6e-5,"Lifeguards and other recreational, and all other protective service workers"
1510,31,1e-6,Nuclear engineers
3320,31,9.3e-5,Diagnostic related technologists and technicians
0830,31,7e-6,Credit analysts
0900,31,1.4e-5,Financial examiners
4820,31,1.9e-5,"Securities, commodities, and financial services sales agents"
3150,31,2.9e-5,Occupational therapists
0735,31,7.7e-5,Market research analysts and marketing specialists
9350,31,8e-6,Parking lot attendants
6240,31,2.2e-5,"Carpet, floor, and tile installers and finishers"
1610,31,1.3e-5,Biological scientists
2440,31,1.2e-5,Library technicians
6515,31,4.2e-5,Roofers
3220,31,2.2e-5,Respiratory therapists
5520,31,6.9e-5,Dispatchers
5350,31,1.1e-5,Order clerks
7410,31,4.8e-5,Electrical power-line installers and repairers
7630,31,2.9e-5,"Other installation, maintenance, and repair workers"
7950,31,5.6e-5,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
0600,31,3.3e-5,Cost estimators
3510,31,5.6e-5,Medical records and health information technicians
8100,31,2.5e-5,"Molders and molding machine setters, operators, and tenders, metal and plastic"
4465,31,6e-6,"Morticians, undertakers, and funeral directors (2011 forward)"
6730,31,2.8e-5,Highway maintenance workers
1920,31,1.2e-5,Chemical technicians
7855,31,2.8e-5,"Food processing workers, all other"
9410,31,7e-6,Transportation inspectors
1640,31,3e-6,Conservation scientists and foresters
0060,31,2e-5,Public relations managers
8620,31,2.4e-5,Water and liquid waste treatment plant and system operators
2840,31,9e-6,Technical writers
4240,31,1.1e-5,Pest control workers
2800,31,1.2e-5,Announcers
4965,31,5.7e-5,"Sales and related workers, all other"
9630,31,5e-6,Machine feeders and offbearers
8810,31,6.1e-5,Painting workers
9750,31,5e-6,"Material moving workers, all other"
1310,31,8e-6,"Surveyors, cartographers, and photogrammetrists"
7430,31,1.1e-5,Precision instrument and equipment repairers
1560,31,2.9e-5,Surveying and mapping technicians
4040,31,1.28e-4,Bartenders
8450,31,5e-6,Upholsterers
5510,31,6.4e-5,Couriers and messengers
7940,31,1.4e-5,"Rolling machine setters, operators, and tenders, metal and plastic"
5540,31,2.1e-5,Postal service clerks
9840,31,5e-6,Armed forces
5550,31,4.7e-5,Postal service mail carriers
9510,31,2.4e-5,Crane and tower operators
5310,31,2.5e-5,"Interviewers, except eligibility and loan"
3620,31,5.3e-5,Physical therapist assistants and aides
9200,31,3e-6,Locomotive engineers and operators
5850,31,1.9e-5,"Mail clerks and mail machine operators, except postal service"
9360,31,3.3e-5,Service station attendants
3720,31,1.9e-5,First-line supervisors/managers of fire fighting and preventions workers
4700,73,2.33e-4,First-line supervisors/managers of retail sales workers
7000,73,4e-5,"First-line supervisors/managers of mechanics, installers, and repairers"
9350,73,2e-6,Parking lot attendants
8965,73,5.2e-5,"Production workers, all other"
5860,73,9.2e-5,"Office clerks, general"
2330,73,1.9e-5,Special education teachers
8140,73,1.01e-4,"Welding, soldering, and brazing workers"
4720,73,2.78e-4,Cashiers
0540,73,3.5e-5,"Claims adjusters, appraisers, examiners, and investigators"
7020,73,1.8e-5,Radio and telecommunications equipment installers and repairers
0800,73,1.23e-4,Accountants and auditors
9130,73,2.87e-4,Driver/sales workers and truck drivers
4950,73,1.3e-5,"Door-to-door sales workers, news and street vendors, and related workers"
4760,73,2.43e-4,Retail salespersons
0350,73,2.9e-5,Medical and health services managers
0230,73,8.2e-5,Education administrators
2310,73,3.19e-4,Elementary and middle school teachers
7800,73,6e-6,Bakers
4965,73,2.8e-5,"Sales and related workers, all other"
5165,73,9e-6,"Financial clerks, all other"
5110,73,2.7e-5,Billing and posting clerks and machine operators
6230,73,1.33e-4,Carpenters
5700,73,1.97e-4,Secretaries and administrative assistants
0430,73,2.79e-4,"Managers, all other"
0120,73,5.5e-5,Financial managers
6420,73,4.5e-5,"Painters, construction and maintenance"
5240,73,1.61e-4,Customer service representatives
5300,73,1.1e-5,"Hotel, motel, and resort desk clerks"
4850,73,1.03e-4,"Sales representatives, wholesale and manufacturing"
7430,73,1e-5,Precision instrument and equipment repairers
4020,73,1.64e-4,Cooks
4110,73,1.57e-4,Waiters and waitresses
2015,73,5e-6,Probation officers and correctional treatment specialists
6260,73,1.79e-4,Construction laborers
5160,73,3.5e-5,Tellers
4040,73,1.1e-5,Bartenders
0160,73,2.2e-5,"Transportation, storage, and distribution managers"
3255,73,2.35e-4,Registered nurses
4800,73,7e-6,Advertising sales agents
3645,73,4.1e-5,Medical assistants
4300,73,1.2e-5,First-line supervisors/managers of gaming workers
1530,73,2.9e-5,"Engineers, all other"
2016,73,1.9e-5,Social and human service assistants
1410,73,1.9e-5,Electrical and electronics engineers
3060,73,4.1e-5,Physicians and surgeons
9620,73,1.49e-4,"Laborers and freight, stock, and material movers, hand"
4230,73,1.18e-4,Maids and housekeeping cleaners
2000,73,5.4e-5,Counselors
0020,73,8e-5,General and operations managers
0530,73,2.5e-5,"Purchasing agents, except wholesale, retail, and farm products"
4220,73,1.74e-4,Janitors and building cleaners
3535,73,6e-6,Miscellaneous health technologists and technicians
4840,73,2.1e-5,"Sales representatives, services, all other"
3600,73,1.59e-4,"Nursing, psychiatric, and home health aides"
6515,73,2.5e-5,Roofers
8030,73,6.3e-5,Machinists
7750,73,6.5e-5,Miscellaneous assemblers and fabricators
6220,73,1.5e-5,"Brickmasons, blockmasons, and stonemasons"
6320,73,3.3e-5,Operating engineers and other construction equipment operators
6250,73,1.4e-5,"Cement masons, concrete finishers, and terrazzo workers"
1020,73,5.6e-5,"Software developers, applications and systems software"
6200,73,6.6e-5,First-line supervisors/managers of construction trades and extraction workers
4320,73,2e-5,First-line supervisors/managers of personal service workers
0050,73,4.4e-5,Marketing and sales managers
5000,73,1.29e-4,First-line supervisors/managers of office and administrative support workers
5620,73,1.63e-4,Stock clerks and order fillers
5330,73,6e-6,Loan interviewers and clerks
2200,73,7.9e-5,Postsecondary teachers
2010,73,4.1e-5,Social workers
2910,73,7e-6,Photographers
4240,73,1.5e-5,Pest control workers
4250,73,7.9e-5,Grounds maintenance workers
0310,73,8.7e-5,Food service managers
7010,73,1.4e-5,"Computer, automated teller, and office machine repairers"
1030,73,1e-5,Web developers
0710,73,3.7e-5,Management analysts
4600,73,1.08e-4,Child care workers
3400,73,1.4e-5,Emergency medical technicians and paramedics
8620,73,1.4e-5,Water and liquid waste treatment plant and system operators
5420,73,6e-6,"Information and record clerks, all other"
1710,73,1e-6,Atmospheric and space scientists
6440,73,2.1e-5,"Pipelayers, plumbers, pipefitters, and steamfitters"
5400,73,7.4e-5,Receptionists and information clerks
4710,73,1.1e-4,First-line supervisors/managers of non-retail sales workers
0410,73,4.4e-5,"Property, real estate, and community association managers"
1550,73,3.6e-5,"Engineering technicians, except drafters"
7720,73,1e-5,"Electrical, electronics, and electromechanical assemblers"
8750,73,1e-6,Jewelers and precious stone and metal workers
2320,73,6.4e-5,Secondary school teachers
0725,73,1e-5,"Meeting, convention, and event planners"
7200,73,7.5e-5,Automotive service technicians and mechanics
3740,73,2.2e-5,Fire fighters
3640,73,1.9e-5,Dental assistants
3050,73,3.2e-5,Pharmacists
2100,73,8.2e-5,"Lawyers, Judges, magistrates, and other judicial workers"
4920,73,5e-5,Real estate brokers and sales agents
5120,73,7e-5,"Bookkeeping, accounting, and auditing clerks"
6240,73,1.5e-5,"Carpet, floor, and tile installers and finishers"
1720,73,9e-6,Chemists and materials scientists
2550,73,9e-6,"Other education, training, and library workers"
1050,73,5.3e-5,Computer support specialists
4650,73,1.2e-5,"Personal care and service workers, all other"
2720,73,2.4e-5,"Athletes, coaches, umpires, and related workers"
4520,73,2.7e-5,Miscellaneous personal appearance workers
4610,73,4.4e-5,Personal and home care aides
0520,73,1.1e-5,"Wholesale and retail buyers, except farm products"
1107,73,6.5e-5,"Computer occupations, all other"
0910,73,2.2e-5,Loan counselors and officers
0850,73,1.7e-5,Personal financial advisors
2630,73,3.5e-5,Designers
2600,73,1.4e-5,Artists and related workers
4030,73,4.9e-5,Food preparation workers
1010,73,2.8e-5,Computer programmers
9140,73,2.7e-5,Taxi drivers and chauffeurs
2825,73,1e-6,Public relations specialists
3850,73,4.5e-5,Police and sheriff's patrol officers
0150,73,1.8e-5,Purchasing managers
8800,73,3.5e-5,Packaging and filling machine operators and tenders
2300,73,5.9e-5,Preschool and kindergarten teachers
0840,73,4e-6,Financial analysts
1540,73,2e-5,Drafters
8500,73,7e-6,Cabinetmakers and bench carpenters
7340,73,4.9e-5,"Maintenance and repair workers, general"
2340,73,7.6e-5,Other teachers and instructors
3110,73,7e-6,Physician assistants
0136,73,6e-6,Human Resources Managers
5820,73,5e-6,Word processors and typists
5310,73,8e-6,"Interviewers, except eligibility and loan"
4200,73,2.6e-5,First-line supervisors/managers of housekeeping and janitorial workers
1106,73,6e-6,Computer network architects
5610,73,3.7e-5,"Shipping, receiving, and traffic clerks"
4140,73,1.4e-5,Dishwashers
7210,73,4e-5,Bus and truck mechanics and diesel engine specialists
3930,73,6.9e-5,Security guards and gaming surveillance officers
0220,73,5.9e-5,Construction managers
4430,73,1.2e-5,Miscellaneous entertainment attendants and related workers
8810,73,1.5e-5,Painting workers
9600,73,4.3e-5,Industrial truck and tractor operators
6940,73,4.3e-5,Other extraction workers
6050,73,8e-5,Miscellaneous agricultural workers
3200,73,4e-6,Radiation therapists
0565,73,1.3e-5,Compliance officers
0010,73,9.8e-5,Chief executives
4010,73,3.9e-5,First-line supervisors/managers of food preparation and serving workers
7150,73,1e-5,Automotive body and related repairers
2750,73,1.7e-5,"Musicians, singers, and related workers"
0420,73,2.7e-5,Social and community service managers
5940,73,4.1e-5,"Office and administrative support workers, all other"
8320,73,3e-6,Sewing machine operators
0110,73,3.3e-5,Computer and information systems managers
2060,73,5e-6,"Religious workers, all other"
6330,73,2.6e-5,"Drywall installers, ceiling tile installers, and tapers"
1820,73,1e-5,Psychologists
2540,73,7.6e-5,Teacher assistants
4150,73,1.1e-5,"Hosts and hostesses, restaurant, lounge, and coffee shop"
5540,73,9e-6,Postal service clerks
0205,73,1.88e-4,"Farmers, Ranchers, and Other Agricultural Managers"
8610,73,4e-6,Stationary engineers and boiler operators
3910,73,8e-6,Private detectives and investigators
5630,73,1.1e-5,"Weighers, measurers, checkers, and samplers, record keeping"
4940,73,7e-6,Telemarketers
3720,73,5e-6,First-line supervisors/managers of fire fighting and preventions workers
7140,73,6.8e-5,Aircraft mechanics and service technicians
0735,73,1.1e-5,Market research analysts and marketing specialists
1006,73,4.7e-5,Computer systems analysts
2900,73,3e-6,Broadcast and sound engineering technicians and radio operators
3540,73,1e-5,Other healthcare practitioners and technical occupations
7315,73,1.9e-5,"Heating, air conditioning, and refrigeration mechanics and installers"
3030,73,8e-6,Dietitians and nutritionists
1460,73,2e-5,Mechanical engineers
1320,73,1e-5,Aerospace engineers
6355,73,6.2e-5,Electricians
4510,73,6.6e-5,"Hairdressers, hairstylists, and cosmetologists"
3420,73,4.8e-5,Health practitioner support technologists and technicians 
0860,73,1.1e-5,Insurance underwriters
7540,73,3e-6,Locksmiths and safe repairers
1300,73,6e-6,"Architects, except naval"
5520,73,2.3e-5,Dispatchers
5510,73,1.8e-5,Couriers and messengers
4130,73,1.5e-5,"Dining room and cafeteria attendants, bartender helpers, and miscellaneous food preparation and serving related workers"
4050,73,2.6e-5,"Combined food preparation and serving workers, including fast food"
7700,73,7.6e-5,First-line supervisors/managers of production and operating workers
3250,73,8e-6,Veterinarians
3000,73,5e-6,Chiropractors
5600,73,2.4e-5,"Production, planning and expediting clerks"
8740,73,6.9e-5,"Inspectors, testers, sorters, samplers, and weighers"
2160,73,2e-5,Miscellaneous legal support workers
6520,73,2e-5,Sheet metal workers
3520,73,4e-6,"Opticians, dispensing"
8220,73,2.2e-5,"Metalworkers and plastic workers,all others"
7630,73,2.1e-5,"Other installation, maintenance, and repair workers"
3010,73,1.3e-5,Dentists
4810,73,3.3e-5,Insurance sales agents
5100,73,1e-5,Bill and account collectors
7740,73,3e-6,Structural metal fabricators and fitters
6040,73,4e-6,"Graders and sorters, agricultural products"
4740,73,2.3e-5,Counter and rental clerks
8250,73,2e-6,Prepress technicians and workers
8710,73,1.2e-5,Cutting workers
3220,73,1.2e-5,Respiratory therapists
4000,73,3.2e-5,Chefs and head cooks
7900,73,1.2e-5,Computer control programmers and operators
9750,73,4e-6,"Material moving workers, all other"
5550,73,2.1e-5,Postal service mail carriers
1560,73,9e-6,Surveying and mapping technicians
9120,73,1.7e-5,Bus drivers
6820,73,7e-6,"Earth drillers, except oil and gas"
6660,73,4e-6,Construction and building inspectors
3160,73,3.1e-5,Physical therapists
9560,73,4e-6,Hoist and winch operators
5530,73,2e-6,"Meter readers, utilities"
3500,73,7.9e-5,Licensed practical and licensed vocational nurses
0500,73,1e-6,"Agents and business managers of artists, performers, and athletes"
7810,73,4e-5,"Butchers and other meat, poultry, and fish processing workers"
4750,73,1.9e-5,Parts salespersons
6840,73,2.5e-5,Mining machine operators
7100,73,2e-6,"Electrical and electronics repairers, industrial and utility"
0810,73,7e-6,Appraisers and assessors of real estate
6005,73,2e-6,"First-line supervisors of farming, fishing, and forestry workers"
9640,73,5.3e-5,"Packers and packagers, hand"
7510,73,5e-6,"Coin, vending, and amusement machine servicers and repairers"
3800,73,2.5e-5,"Bailiffs, correctional officers, and jailers"
7410,73,1.7e-5,Electrical power-line installers and repairers
4620,73,2.3e-5,Recreation and fitness workers
9240,73,1e-6,Railroad conductors and yardmasters
9360,73,1.6e-5,Service station attendants
9030,73,5e-6,Aircraft pilots and flight engineers
1910,73,3e-6,Biological technicians
2850,73,1e-5,Writers and authors
3310,73,2e-5,Dental hygienists
0425,73,1e-6,Emergency Management Directors
4210,73,9e-6,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers"
3320,73,2.2e-5,Diagnostic related technologists and technicians
0726,73,4e-6,Fundraisers
7300,73,2e-6,Control and valve installers and repairers
4500,73,9e-6,Barbers
6730,73,4e-6,Highway maintenance workers
5240,92,2.26e-4,Customer service representatives
8965,92,8.3e-5,"Production workers, all other"
0540,92,3.7e-5,"Claims adjusters, appraisers, examiners, and investigators"
3420,92,6.9e-5,Health practitioner support technologists and technicians 
5700,92,1.84e-4,Secretaries and administrative assistants
2825,92,1e-5,Public relations specialists
7340,92,3.4e-5,"Maintenance and repair workers, general"
0520,92,3.1e-5,"Wholesale and retail buyers, except farm products"
3255,92,2.39e-4,Registered nurses
4700,92,2.77e-4,First-line supervisors/managers of retail sales workers
1550,92,6.4e-5,"Engineering technicians, except drafters"
4220,92,1.67e-4,Janitors and building cleaners
4050,92,2e-5,"Combined food preparation and serving workers, including fast food"
4620,92,4.4e-5,Recreation and fitness workers
1030,92,2.9e-5,Web developers
4110,92,1.32e-4,Waiters and waitresses
4030,92,1.32e-4,Food preparation workers
1430,92,4.2e-5,"Industrial engineers, including health and safety"
4040,92,5.7e-5,Bartenders
5810,92,2.1e-5,Data entry keyers
6200,92,4.5e-5,First-line supervisors/managers of construction trades and extraction workers
2830,92,2.6e-5,Editors
3310,92,2e-5,Dental hygienists
4350,92,2.2e-5,Nonfarm animal caretakers
2630,92,1.21e-4,Designers
0010,92,9.7e-5,Chief executives
5000,92,1.28e-4,First-line supervisors/managers of office and administrative support workers
9350,92,1.5e-5,Parking lot attendants
0100,92,1.4e-5,Administrative services managers
1020,92,1.57e-4,"Software developers, applications and systems software"
2310,92,2.29e-4,Elementary and middle school teachers
2100,92,1.02e-4,"Lawyers, Judges, magistrates, and other judicial workers"
2000,92,6.6e-5,Counselors
4530,92,3e-6,"Baggage porters, bellhops, and concierges"
2320,92,6e-5,Secondary school teachers
1530,92,8.5e-5,"Engineers, all other"
8710,92,9e-6,Cutting workers
4010,92,6.9e-5,First-line supervisors/managers of food preparation and serving workers
0850,92,2.8e-5,Personal financial advisors
7210,92,2.5e-5,Bus and truck mechanics and diesel engine specialists
1410,92,2.7e-5,Electrical and electronics engineers
1450,92,1e-5,Materials engineers
2710,92,7e-6,Producers and directors
1840,92,5e-6,Urban and regional planners
9620,92,2.01e-4,"Laborers and freight, stock, and material movers, hand"
0735,92,4.3e-5,Market research analysts and marketing specialists
0430,92,4.13e-4,"Managers, all other"
3320,92,5.8e-5,Diagnostic related technologists and technicians
3300,92,1.8e-5,Clinical laboratory technologists and technicians
0050,92,9.9e-5,Marketing and sales managers
6420,92,3.4e-5,"Painters, construction and maintenance"
8140,92,3.5e-5,"Welding, soldering, and brazing workers"
4760,92,2.34e-4,Retail salespersons
1006,92,4.8e-5,Computer systems analysts
3245,92,1.7e-5,"Therapists, all other"
1360,92,5.6e-5,Civil engineers
2040,92,3.5e-5,Clergy
4020,92,1.84e-4,Cooks
0230,92,8.9e-5,Education administrators
3645,92,7.1e-5,Medical assistants
4430,92,1.3e-5,Miscellaneous entertainment attendants and related workers
6700,92,2e-6,Elevator installers and repairers
5600,92,2.5e-5,"Production, planning and expediting clerks"
3030,92,3e-6,Dietitians and nutritionists
6005,92,2e-5,"First-line supervisors of farming, fishing, and forestry workers"
3060,92,1.2e-4,Physicians and surgeons
5620,92,1.29e-4,Stock clerks and order fillers
0420,92,8.5e-5,Social and community service managers
0110,92,3.4e-5,Computer and information systems managers
4810,92,4.4e-5,Insurance sales agents
0860,92,4e-6,Insurance underwriters
9600,92,4.1e-5,Industrial truck and tractor operators
9120,92,4.2e-5,Bus drivers
2750,92,1.4e-5,"Musicians, singers, and related workers"
3600,92,1.21e-4,"Nursing, psychiatric, and home health aides"
9130,92,2.48e-4,Driver/sales workers and truck drivers
5510,92,3.8e-5,Couriers and messengers
3630,92,2.4e-5,Massage therapists
3648,92,4e-6,Veterinary assistants and labratory animal caretakers
